query_id,query_text,query_type,candidate_doc_id,candidate_title,candidate_excerpt,relevance_0_1_2
q923896100_1,Kamu görevlisini öldürmeye teşebbüs,semantic,d923896100,"1. Ceza Dairesi - E. 2012/1756, K. 2012/5249","1. Ceza Dairesi         2012/1756 E.  ,  2012/5249 K.  ""İçtihat Metni""  MAHKEMESİ :Ağır Ceza Mahkemesi  SUÇ : Kamu görevlisini öldürmeye teşebbüs  HÜKÜM : TCY.nın 82/1-g,35,62,53 maddeleri uyarınca 16 yıl 8 ay hapis cezası.  TÜRK MİLLETİ ADINA  1-Oluşa, dosya kapsamına göre; sanığın, gece 04.10 sıra",
q1137265400_0,Parada sahtecilik,semantic,d1137265400,"8. Ceza Dairesi - E. 2010/2269, K. 2011/11203","8. Ceza Dairesi         2010/2269 E.  ,  2011/11203 K.  ""İçtihat Metni""  MAHKEMESİ :Ağır Ceza Mahkemesi  SUÇ : Parada sahtecilik  HÜKÜM : Hükümlülük ve müsadere  Gereği görüşülüp düşünüldü:  Sanık ...'ın, hakkındaki hüküm kesinleşen sanık Murat Kavuk'a, 2003 yılı Ocak ayında bir alışveriş nedeniyle ",
q333739200_1,"Tasarlayarak öldürme, 6136 sayılı Yasaya muhalefet",semantic,d333739200,"1. Ceza Dairesi - E. 2015/5775, K. 2017/1407","1. Ceza Dairesi         2015/5775 E.  ,  2017/1407 K.  ""İçtihat Metni""  MAHKEMESİ :Ağır Ceza Mahkemesi  SUÇ : Tasarlayarak öldürme, 6136 sayılı Yasaya muhalefet  HÜKÜM : Sanıklar ..., ..., ..., ..., ... hakkında:  Tasarlayarak öldürme ve 6136 sayılı Yasaya muhalefet suçlarından beraat.  TÜRK MİLLETİ",
q741245700_0,Mala zarar verme,semantic,d741245700,"15. Ceza Dairesi - E. 2013/9798, K. 2013/12334","(Kapatılan)15. Ceza Dairesi         2013/9798 E.  ,  2013/12334 K.  ""İçtihat Metni""  MAHKEMESİ :Asliye Ceza Mahkemesi  SUÇ : Mala zarar verme  HÜKÜM : Mahkumiyet  Dosya incelenerek gereği düşünüldü;  Mala zarar verme suçu, başkasının mülkiyetinde bulunan taşınır veya taşınmaz malın kısmen veya tamam",
q891884100_0,Resmi belgede sahtecilik,semantic,d891884100,"11. Ceza Dairesi - E. 2019/9113, K. 2023/2309","11. Ceza Dairesi         2019/9113 E.  ,  2023/2309 K.  ""İçtihat Metni""  İNCELENEN KARARIN  MAHKEMESİ :Asliye Ceza Mahkemesi  SAYISI : 2013/73 E., 2015/307 K.  SUÇ : Resmi belgede sahtecilik  HÜKÜMLER : Mahkûmiyet  TEBLİĞNAME GÖRÜŞÜ : Bozma  Sanıklar hakkında kurulan hükümlerin; karar tarihi itibarı",
q16388500_0,Madde 312,lexical,d16388500,"Ceza Genel Kurulu - E. 2004/130, K. 2004/206","Ceza Genel Kurulu 2004/8-130 E., 2004/206 K.  Ceza Genel Kurulu 2004/8-130 E., 2004/206 K.  - HALKI DİN FARKLILIĞI GÖZETEREK AÇIKÇA KİN VE DÜŞMANLIĞA TAHRİK ETMEK- 765 S. TÜRK CEZA KANUNU (MÜLGA) [ Madde 312 ]  ""İçtihat Metni""  Halkı din farklılığı gözeterek açıkça kin ve düşmanlığa tahrik etmek suç",
q528079400_0,İmar kirliliğine neden olma,semantic,d528079400,"18. Ceza Dairesi - E. 2019/3306, K. 2019/11609","18. Ceza Dairesi         2019/3306 E.  ,  2019/11609 K.  ""İçtihat Metni""  MAHKEMESİ :Asliye Ceza Mahkemesi  SUÇ : İmar kirliliğine neden olma  HÜKÜM : Mahkumiyet  KARAR  Yerel Mahkemece verilen hüküm temyiz edilmekle, başvurunun süresi ve kararın niteliği ile suç tarihine göre dosya görüşüldü:  Katı",
q1038288400_0,madde 194,lexical,d1038288400,"10. Hukuk Dairesi - E. 2023/13772, K. 2024/409","10. Hukuk Dairesi         2023/13772 E.  ,  2024/409 K.  ""İçtihat Metni""  MAHKEMESİ : Ankara Bölge Adliye Mahkemesi 11. Hukuk Dairesi  SAYISI : 2021/2173 E., 2023/758 K.  HÜKÜM/KARAR : Esastan ret  İLK DERECE MAHKEMESİ : Ankara 13. İş Mahkemesi  SAYISI : 2018/467 E., 2021/363 K.  Taraflar arasındaki",
q649577900_0,Nitelikli dolandırıcılık,semantic,d649577900,"15. Ceza Dairesi - E. 2017/32635, K. 2021/1684","15. Ceza Dairesi         2017/32635 E.  ,  2021/1684 K.  ""İçtihat Metni""  MAHKEMESİ :Ağır Ceza Mahkemesi  SUÇ : Nitelikli dolandırıcılık  HÜKÜM : TCK.nın 158/1-a, 52/2-4, 53, CMUK'nın 326/son maddeleri gereğince mahkumiyet  Nitelikli dolandırıcılık suçundan sanıkların mahkumiyetine ilişkin hükümler,",
q968406100_0,Madde 96,lexical,d968406100,"10. Hukuk Dairesi - E. 2023/9206, K. 2023/9988","10. Hukuk Dairesi         2023/9206 E.  ,  2023/9988 K.  ""İçtihat Metni""  MAHKEMESİ : ... Bölge Adliye Mahkemesi 34. Hukuk Dairesi  SAYISI : 2021/1982 E., 2023/1507 K.  HÜKÜM/KARAR : Esastan red  İLK DERECE MAHKEMESİ : ... 19. İş Mahkemesi  SAYISI : 2017/126 E., 2021/213 K.  Taraflar arasındaki Kuru",
q854982300_0,Madde 1,lexical,d854982300,"10. Hukuk Dairesi - E. 2021/6549, K. 2022/11876","10. Hukuk Dairesi         2021/6549 E.  ,  2022/11876 K.  ""İçtihat Metni""  Bölge Adliye  Mahkemesi : Adana Bölge Adliye Mahkemesi 7. Hukuk Dairesi  No :  Dava, iş kazası sonucu sürekli iş göremezlik durumuna giren sigortalının maddi ve manevi zararının giderilmesi istemine ilişkindir.  İlk Derece Ma",
q891884100_1,i̇ncelenen kararin,semantic,d891884100,"11. Ceza Dairesi - E. 2019/9113, K. 2023/2309","11. Ceza Dairesi         2019/9113 E.  ,  2023/2309 K.  ""İçtihat Metni""  İNCELENEN KARARIN  MAHKEMESİ :Asliye Ceza Mahkemesi  SAYISI : 2013/73 E., 2015/307 K.  SUÇ : Resmi belgede sahtecilik  HÜKÜMLER : Mahkûmiyet  TEBLİĞNAME GÖRÜŞÜ : Bozma  Sanıklar hakkında kurulan hükümlerin; karar tarihi itibarı",
q150034900_0,"Kamu malına zarar verme, hırsızlık",semantic,d150034900,"15. Ceza Dairesi - E. 2015/13354, K. 2015/29885","15. Ceza Dairesi         2015/13354 E.  ,  2015/29885 K.  ""İçtihat Metni""  Tebliğname No : 2 - 2015/222716  İNCELENEN KARARIN;  MAHKEMESİ : Ankara 2. Çocuk Mahkemesi  TARİHİ : 06/05/2015  NUMARASI : 2014/285 (E) ve 2015/396 (K)  SUÇA SÜRÜKLENEN ÇOCUK : B.. T..  SUÇ : Kamu malına zarar verme, hırsızl",
q699062500_0,türk mi̇lleti̇ adina,semantic,d699062500,"1. Ceza Dairesi - E. 2021/7354, K. 2021/13000","1. Ceza Dairesi         2021/7354 E.  ,  2021/13000 K.  ""İçtihat Metni""  MAHKEMESİ :Ağır Ceza Mahkemesi  TÜRK MİLLETİ ADINA  Artvin Ağır Ceza Mahkemesi'nin 06.10.2020 gün ve 2020/8 Esas ve 2020/98 Karar sayılı bozma üzerine verilen kararının sanık müdafii, kurum vekili ve ... vekili tarafından 5271 ",
q16097200_1,Madde 46,lexical,d16097200,"10. Hukuk Dairesi - E. 2007/7651, K. 2007/19839","10. Hukuk Dairesi 2007/7651 E., 2007/19839 K.  10. Hukuk Dairesi 2007/7651 E., 2007/19839 K.  **- İŞSİZLİK SİGORTASI  - İŞSİZLİK SİGORTASI PRİMİ**- 4447 S. İŞSİZLİK SİGORTASI KANUNU [ Madde 46 ]  - 4447 S. İŞSİZLİK SİGORTASI KANUNU [ Madde 51 ]  ""İçtihat Metni""  Dava, kapsam dışı personel statüsünde",
q1016796100_0,i̇ncelenen kararin,semantic,d1016796100,"11. Hukuk Dairesi - E. 2022/5663, K. 2024/197","11. Hukuk Dairesi         2022/5663 E.  ,  2024/197 K.  ""İçtihat Metni""  İNCELENEN KARARIN  MAHKEMESİ : İstanbul Bölge Adliye Mahkemesi 16. Hukuk Dairesi  SAYISI : 2018/3186 Esas, 2022/797 Karar  DAVALILAR : 1.... vekili Avukat ... 2.... vekili Avukat ...  İHBAR OLUNAN : ...  DAVA TARİHİ :  HÜKÜM : ",
q813861900_0,Madde 230,lexical,d813861900,"20. Hukuk Dairesi - E. 2013/1736, K. 2013/3913","(Kapatılan)20. Hukuk Dairesi         2013/1736 E.  ,  2013/3913 K.  ""İçtihat Metni""  MAHKEMESİ :Asliye Hukuk Mahkemesi  Taraflar arasında görülen dava sırasında davacı vekili tarafından reddi hâkim yoluna başvurulmuştur.  Red talebini inceleyen merci tarafından verilen kararın Yargıtayca incelenmesi",
q333739200_0,türk mi̇lleti̇ adina,semantic,d333739200,"1. Ceza Dairesi - E. 2015/5775, K. 2017/1407","1. Ceza Dairesi         2015/5775 E.  ,  2017/1407 K.  ""İçtihat Metni""  MAHKEMESİ :Ağır Ceza Mahkemesi  SUÇ : Tasarlayarak öldürme, 6136 sayılı Yasaya muhalefet  HÜKÜM : Sanıklar ..., ..., ..., ..., ... hakkında:  Tasarlayarak öldürme ve 6136 sayılı Yasaya muhalefet suçlarından beraat.  TÜRK MİLLETİ",
q97988900_0,1163 sayılı Yasaya muhalefet,semantic,d97988900,"7. Ceza Dairesi - E. 2013/13816, K. 2014/11197","7. Ceza Dairesi         2013/13816 E.  ,  2014/11197 K.  ""İçtihat Metni""  Tebliğname No : 7 - 2013/241830  MAHKEMESİ : Karaman 2. Sulh Ceza Mahkemesi  TARİHİ : 02/03/2011  NUMARASI : 2010/200 (E) ve 2011/220 (K)  SUÇ : 1163 sayılı Yasaya muhalefet  Yerel mahkemece verilen hüküm temyiz edilmekle; baş",
q220269200_0,5015 sayılı Yasa'ya Muhalefet,semantic,d220269200,"7. Ceza Dairesi - E. 2014/4605, K. 2016/7650","7. Ceza Dairesi         2014/4605 E.  ,  2016/7650 K.  ""İçtihat Metni""  MAHKEMESİ :Asliye Ceza Mahkemesi  SUÇ : 5015 sayılı Yasa'ya Muhalefet  HÜKÜM : Hükümlülük, erteleme, müsadere  Yerel mahkemece verilen hüküm temyiz edilmekle; başvurunun nitelik, ceza türü, süresi ve suç tarihine göre dosya okun",
q1131744500_0,i̇ncelenen kararin,semantic,d1131744500,"8. Ceza Dairesi - E. 2024/12231, K. 2025/1969","8. Ceza Dairesi         2024/12231 E.  ,  2025/1969 K.  ""İçtihat Metni""  İNCELENEN KARARIN  MAHKEMESİ :Ceza Dairesi  SAYISI : 2020/1702 E., 2020/2505 K.  SUÇ : 2313 sayılı Kanun'a aykırılık  HÜKÜM : Mahkumiyet  TEBLİĞNAME GÖRÜŞÜ : Onama  İlk Derece Mahkemesince verilen hükme yönelik istinaf inceleme",
q174637400_0,"Nitelikli mala zarar verme, görevi yaptırmamak için direnme, hakaret",semantic,d174637400,"15. Ceza Dairesi - E. 2014/14079, K. 2015/25454","15. Ceza Dairesi         2014/14079 E.  ,  2015/25454 K.  ""İçtihat Metni""  MAHKEMESİ :Asliye Ceza Mahkemesi  SUÇ : Nitelikli mala zarar verme, görevi yaptırmamak için direnme, hakaret  HÜKÜM : Mahkumiyet  Dosya incelenerek gereği düşünüldü;  Mala zarar verme suçu başkasının mülkiyetinde bulunan taşı",
q912900100_1,"4733 sayılı Tütün, Tütün Mamulleri ve Alkol Piyasasının",semantic,d912900100,"7. Ceza Dairesi - E. 2023/1327, K. 2023/4476","7. Ceza Dairesi         2023/1327 E.  ,  2023/4476 K.  ""İçtihat Metni""  B O Z M A Ü Z E R İ N E  İNCELENEN KARARIN  MAHKEMESİ :Asliye Ceza Mahkemesi  SAYISI : 2020/957 E., 2022/1747 K.  KATILANLAR : ... Bakanlığı, Gümrük İdaresi  SUÇ : 4733 sayılı Tütün, Tütün Mamulleri ve Alkol Piyasasının  Düzenle",
q547349200_0,madde 698,lexical,d547349200,"14. Hukuk Dairesi - E. 2018/4912, K. 2019/6578","14. Hukuk Dairesi         2018/4912 E.  ,  2019/6578 K.  ""İçtihat Metni""  MAHKEMESİ :Sulh Hukuk Mahkemesi  Davacı vekili tarafından, davalılar aleyhine 19/12/2014 gününde verilen dilekçe ile ortaklığın giderilmesi talebi üzerine yapılan duruşma sonunda; davanın kabulüne dair verilen 10/11/2015 günlü",
q343305700_1,"Davacı, %5 fazla ödeme alacağının ödetilmesine karar verilmesini istemiştir.",semantic,d343305700,"9. Hukuk Dairesi - E. 2012/36504, K. 2014/29992","9. Hukuk Dairesi         2012/36504 E.  ,  2014/29992 K.  ""İçtihat Metni""  MAHKEMESİ :İŞ MAHKEMESİ  DAVA : Davacı, %5 fazla ödeme alacağının ödetilmesine karar verilmesini istemiştir.  Yerel mahkeme, isteği hüküm altına almıştır.  Hüküm süresi içinde davalılardan Işıl ... Yayıncılık AŞ. avukatı tara",
q197123900_0,4733 sayılı Yasaya Muhalefet,semantic,d197123900,"7. Ceza Dairesi - E. 2015/14826, K. 2016/6225","7. Ceza Dairesi         2015/14826 E.  ,  2016/6225 K.  ""İçtihat Metni""  MAHKEMESİ : ......... 1. Asliye Ceza Mahkemesi  SUÇ : 4733 sayılı Yasaya Muhalefet  HÜKÜM : Sanıklar ........ ve .. hakkında beraat, sanık ...................... hakkında hükümlülük, müsadere  Yerel mahkemece verilen hüküm temy",
q318888800_0,y a r g i t a y k a r a r i,semantic,d318888800,"9. Hukuk Dairesi - E. 2016/10474, K. 2017/2759","9. Hukuk Dairesi         2016/10474 E.  ,  2017/2759 K.  ""İçtihat Metni""  MAHKEMESİ :İŞ MAHKEMESİ  DAVA :Davacı, feshin geçersizliğine, işe iadesine ve yasal sonuçlarına hükmedilmesine karar verilmesini istemiştir.  Yerel mahkemece, davanın kabulüne karar verilmiştir.  Hüküm süresi içinde davalı avu",
q723758000_0,Geceleyin Hırsızlık,semantic,d723758000,"13. Ceza Dairesi - E. 2011/8306, K. 2012/3023","(Kapatılan)13. Ceza Dairesi         2011/8306 E.  ,  2012/3023 K.  ""İçtihat Metni""  MAHKEMESİ :Çocuk Mahkemesi  SUÇ : Geceleyin Hırsızlık  HÜKÜM : Mahkumiyet  Mahalli mahkemece verilen hüküm temyiz edilmekle dosya incelenerek, gereği düşünüldü:  Dosya içeriğine, toplanıp karar yerinde incelenerek ta",
q634284800_0,"Hırsızlık, konut dokunulmazlığını bozma",semantic,d634284800,"2. Ceza Dairesi - E. 2020/10558, K. 2020/13097","2. Ceza Dairesi         2020/10558 E.  ,  2020/13097 K.  ""İçtihat Metni""  MAHKEMESİ :Asliye Ceza Mahkemesi  SUÇ : Hırsızlık, konut dokunulmazlığını bozma  HÜKÜM : Ceza verilmesine yer olmadığına  Dosya incelenerek gereği düşünüldü;  Boyabat asliye ceza mahkemesi'nin 02/11/2015 tarihli tensip zaptınd",
q456175700_0,"Hırsızlık, ibadethanelere ve mezarlıklara zarar verme",semantic,d456175700,"2. Ceza Dairesi - E. 2016/8315, K. 2018/12731","2. Ceza Dairesi         2016/8315 E.  ,  2018/12731 K.  ""İçtihat Metni""  MAHKEMESİ :Asliye Ceza Mahkemesi  SUÇ : Hırsızlık, ibadethanelere ve mezarlıklara zarar verme  HÜKÜM : Mahkumiyet  Dosya incelenerek gereği düşünüldü;  Dosya içeriğine göre diğer temyiz itirazları yerinde görülmemiştir. Ancak; ",
q1131744500_1,2313 sayılı Kanun'a aykırılık,semantic,d1131744500,"8. Ceza Dairesi - E. 2024/12231, K. 2025/1969","8. Ceza Dairesi         2024/12231 E.  ,  2025/1969 K.  ""İçtihat Metni""  İNCELENEN KARARIN  MAHKEMESİ :Ceza Dairesi  SAYISI : 2020/1702 E., 2020/2505 K.  SUÇ : 2313 sayılı Kanun'a aykırılık  HÜKÜM : Mahkumiyet  TEBLİĞNAME GÖRÜŞÜ : Onama  İlk Derece Mahkemesince verilen hükme yönelik istinaf inceleme",
q1102554800_0,Taksirle yaralama,semantic,d1102554800,"12. Ceza Dairesi - E. 2023/4530, K. 2024/2959","12. Ceza Dairesi         2023/4530 E.  ,  2024/2959 K.  ""İçtihat Metni""  B O Z M A Ü Z E R İ N E  MAHKEMESİ:Asliye Ceza Mahkemesi  SAYISI : 2021/796 E., 2023/240 K.  SUÇ : Taksirle yaralama  HÜKÜMLER : Mahkûmiyet  TEBLİĞNAME GÖRÜŞÜ: Onama  Dairemizce verilen bozma ilâmı üzerine mahkemece sanıklar ha",
q1113966700_0,yargitay i̇lami,semantic,d1113966700,"7. Hukuk Dairesi - E. 2013/2027, K. 2013/1322","7. Hukuk Dairesi         2013/2027 E.  ,  2013/1322 K.  ""İçtihat Metni""  Mahkemesi :İş Mahkemesi  Dava Türü :İşe İade  YARGITAY İLAMI  Taraflar arasında görülen dava sonucunda verilen hükmün, Yargıtayca incelenmesi davalı vekili tarafından istenilmekle, temyiz isteğinin süresinde olduğu anlaşıldı. D",
q912900100_0,b o z m a ü z e r i̇ n e,semantic,d912900100,"7. Ceza Dairesi - E. 2023/1327, K. 2023/4476","7. Ceza Dairesi         2023/1327 E.  ,  2023/4476 K.  ""İçtihat Metni""  B O Z M A Ü Z E R İ N E  İNCELENEN KARARIN  MAHKEMESİ :Asliye Ceza Mahkemesi  SAYISI : 2020/957 E., 2022/1747 K.  KATILANLAR : ... Bakanlığı, Gümrük İdaresi  SUÇ : 4733 sayılı Tütün, Tütün Mamulleri ve Alkol Piyasasının  Düzenle",
q385063600_0,madde 8,lexical,d385063600,"11. Hukuk Dairesi - E. 2016/5213, K. 2017/7611","11. Hukuk Dairesi         2016/5213 E.  ,  2017/7611 K.  ""İçtihat Metni""  MAHKEMESİ: ... ... FİKRÎ VE SINAÎ HAKLAR  Taraflar arasında görülen davada ... ... Fikrî ve Sınaî Haklar Hukuk Mahkemesi’nce verilen 06/02/2014 tarih ve 2010/249-2014/15 sayılı kararın Yargıtayca incelenmesi davalı vekili tara",
q237929000_0,"Hırsızlık, kamu malına zarar verme",semantic,d237929000,"23. Ceza Dairesi - E. 2015/16217, K. 2016/1011","23. Ceza Dairesi         2015/16217 E.  ,  2016/1011 K.  ""İçtihat Metni""  MAHKEMESİ :Asliye Ceza Mahkemesi  SUÇ : Hırsızlık, kamu malına zarar verme  HÜKÜM : Hırsızlık suçundan; TCK'nın 142/1-a, 143, 53, 63 maddeleri uyarınca iki kez 2 yıl 6 ay ve 142/1-a, 143, 35/2, 53, 63 maddeleri uyarınca 7 ay 1",
q630347400_0,y a r g i t a y k a r a r i,semantic,d630347400,"9. Hukuk Dairesi - E. 2009/25323, K. 2010/6022","9. Hukuk Dairesi         2009/25323 E.  ,  2010/6022 K.  ""İçtihat Metni""  MAHKEMESİ :İş Mahkemesi  DAVA : Davacı, feshin geçersizliğine ve işe iadesine karar verilmesini istemiştir.  Yerel mahkeme, isteği kısmen hüküm altına almıştır.  Hüküm süresi içinde taraflar avukatlarınca temyiz edilmiş olmakl",
q654518300_0,y a r g i t a y k a r a r i,semantic,d654518300,"9. Hukuk Dairesi - E. 2019/4285, K. 2021/3385","9. Hukuk Dairesi         2019/4285 E.  ,  2021/3385 K.  ""İçtihat Metni""  BÖLGE ADLİYE MAHKEMESİ : ... Hukuk Dairesi  DAVA TÜRÜ : ALACAK  Taraflar arasında görülen dava sonucunda verilen kararın, temyizen incelenmesi davalı vekili tarafından istenilmekle, temyiz talebinin süresinde olduğu anlaşıldı. ",
q1051217800_0,i̇ncelenen kararin,semantic,d1051217800,"11. Hukuk Dairesi - E. 2023/4417, K. 2024/2102","11. Hukuk Dairesi         2023/4417 E.  ,  2024/2102 K.  ""İçtihat Metni""  İNCELENEN KARARIN  MAHKEMESİ :Fikri ve Sınaî Haklar Hukuk Mahkemesi  SAYISI : 2023/3 Esas, 2023/221 Karar  Avukat ...  DAVALILAR : 1.Türk Patent ve Marka Kurumu (TÜRKPATENT) vekili  Avukat ...  2.Tasfiye Halinde On8 Gıda Turiz",
q97128600_0,"Yağma, hürriyeti tahdit",semantic,d97128600,"6. Ceza Dairesi - E. 2012/9846, K. 2014/21587","6. Ceza Dairesi         2012/9846 E.  ,  2014/21587 K.  ""İçtihat Metni""  Tebliğname No : 6 - 2009/256783  MAHKEMESİ : Bakırköy 3. Ağır Ceza Mahkemesi  TARİHİ : 01/12/2008  NUMARASI : 2005/115 (E) ve 2008/412 (K)  SUÇ : Yağma, hürriyeti tahdit  Yerel Mahkemece verilen hüküm temyiz edilmekle; başvurun",
q829038500_1,"Davacı, feshin geçersizliğine ve işe iadesine karar verilmesini istemiştir.",semantic,d829038500,"22. Hukuk Dairesi - E. 2012/2030, K. 2012/16540","(Kapatılan)22. Hukuk Dairesi         2012/2030 E.  ,  2012/16540 K.  ""İçtihat Metni""  MAHKEMESİ :İş Mahkemesi  DAVA : Davacı, feshin geçersizliğine ve işe iadesine karar verilmesini istemiştir.  Mahkeme, isteği kısmen hüküm altına almıştır.  Hüküm süresi içinde taraflar avukatlarınca temyiz edilmiş ",
