query-id	corpus-id	score
q76668200_0	d76668200	1
q76668200_1	d76668200	1
q910303000_0	d910303000	1
q910303000_1	d910303000	1
q239912000_0	d239912000	1
q1029825800_0	d1029825800	1
q1020302300_0	d1020302300	1
q374153800_0	d374153800	1
q76683300_0	d76683300	1
q76683300_1	d76683300	1
q550693400_0	d550693400	1
q995136600_0	d995136600	1
q995136600_1	d995136600	1
q837729800_0	d837729800	1
q910087300_0	d910087300	1
q242202900_0	d242202900	1
q137503300_0	d137503300	1
q182664500_0	d182664500	1
q417169300_0	d417169300	1
q417169300_1	d417169300	1
q738456500_0	d738456500	1
q76670600_0	d76670600	1
q76670600_1	d76670600	1
q662252500_0	d662252500	1
q1117163100_0	d1117163100	1
q618494400_0	d618494400	1
q648402200_0	d648402200	1
q963659200_0	d963659200	1
q76667400_0	d76667400	1
q76667400_1	d76667400	1
q1076015100_0	d1076015100	1
q352312600_0	d352312600	1
q352312600_1	d352312600	1
q513317600_0	d513317600	1
q513317600_1	d513317600	1
q960111700_0	d960111700	1
q76666700_0	d76666700	1
q76666700_1	d76666700	1
q901624500_0	d901624500	1
q1114529500_0	d1114529500	1
q417411800_0	d417411800	1
q417411800_1	d417411800	1
q635273500_0	d635273500	1
q76666900_0	d76666900	1
q76666900_1	d76666900	1
q1103196100_0	d1103196100	1
q696463000_0	d696463000	1
q170994500_0	d170994500	1
q105411000_0	d105411000	1
q1073692900_0	d1073692900	1
q426103100_0	d426103100	1
q76781300_0	d76781300	1
q76781300_1	d76781300	1
q111828400_0	d111828400	1
q1040669000_0	d1040669000	1
q76666400_0	d76666400	1
q76666400_1	d76666400	1
q1153118400_0	d1153118400	1
q175841400_0	d175841400	1
q16718100_0	d16718100	1
q16718100_1	d16718100	1
q1153123600_0	d1153123600	1
q443325600_0	d443325600	1
q574358500_0	d574358500	1
q836833300_0	d836833300	1
q836833300_1	d836833300	1
q276289700_0	d276289700	1
q241242000_0	d241242000	1
q1018654100_0	d1018654100	1
q1018654100_1	d1018654100	1
q275592900_0	d275592900	1
q905107800_0	d905107800	1
q905107800_1	d905107800	1
q107017500_0	d107017500	1
q185106300_0	d185106300	1
q980314400_0	d980314400	1
q1117299300_0	d1117299300	1
q936265100_0	d936265100	1
q655565800_0	d655565800	1
q381161700_0	d381161700	1
q140621000_0	d140621000	1
q808014300_0	d808014300	1
q967752200_0	d967752200	1
q929824300_0	d929824300	1
q445958400_0	d445958400	1
q583819100_0	d583819100	1
q967751200_0	d967751200	1
q480222800_0	d480222800	1
q601543200_0	d601543200	1
q1148672700_0	d1148672700	1
q98951900_0	d98951900	1
q482847200_0	d482847200	1
q628643300_0	d628643300	1
q1151927800_0	d1151927800	1
q166560500_0	d166560500	1
q311421900_0	d311421900	1
q912370100_0	d912370100	1
q912370100_1	d912370100	1
q973942000_0	d973942000	1
q973942000_1	d973942000	1
q990763600_0	d990763600	1
q932212500_0	d932212500	1
q1002331300_0	d1002331300	1
q988425000_0	d988425000	1
q258988400_0	d258988400	1
q501422700_0	d501422700	1
q978235200_0	d978235200	1
q978235200_1	d978235200	1
q546311300_0	d546311300	1
q742697000_0	d742697000	1
q188749800_0	d188749800	1
q396117300_0	d396117300	1
q961224300_0	d961224300	1
q961224300_1	d961224300	1
q539540100_0	d539540100	1
q539540100_1	d539540100	1
q1106599400_0	d1106599400	1
q1106599400_1	d1106599400	1
q882703500_0	d882703500	1
q960838600_0	d960838600	1
q100735100_0	d100735100	1
q100735100_1	d100735100	1
q211716900_0	d211716900	1
q826016500_0	d826016500	1
q90308600_0	d90308600	1
q890964200_0	d890964200	1
q890964200_1	d890964200	1
q954361000_0	d954361000	1
q207484900_0	d207484900	1
q971859200_0	d971859200	1
q912567700_0	d912567700	1
q123524200_0	d123524200	1
q704070600_0	d704070600	1
q437063300_0	d437063300	1
q228753400_0	d228753400	1
q926751800_0	d926751800	1
q926751800_1	d926751800	1
q579495500_0	d579495500	1
q123665300_0	d123665300	1
q1013164700_0	d1013164700	1
q636957700_0	d636957700	1
q166563400_0	d166563400	1
q934340800_0	d934340800	1
q934340800_1	d934340800	1
q545921700_0	d545921700	1
q130620100_0	d130620100	1
q130620100_1	d130620100	1
q963264700_0	d963264700	1
q1115404100_0	d1115404100	1
q782726800_0	d782726800	1
q237912100_0	d237912100	1
q409146600_0	d409146600	1
q409146600_1	d409146600	1
q1105380500_0	d1105380500	1
q1105380500_1	d1105380500	1
q134326500_0	d134326500	1
q1023373700_0	d1023373700	1
q225403800_0	d225403800	1
q994123400_0	d994123400	1
q994123400_1	d994123400	1
q420876700_0	d420876700	1
q258299000_0	d258299000	1
q181413400_0	d181413400	1
q1015168600_0	d1015168600	1
q1015168600_1	d1015168600	1
q84002200_0	d84002200	1
q84002200_1	d84002200	1
q560554600_0	d560554600	1
q628254100_0	d628254100	1
q384369300_0	d384369300	1
q207893100_0	d207893100	1
q1114650700_0	d1114650700	1
q444696500_0	d444696500	1
q188005900_0	d188005900	1
q188005900_1	d188005900	1
q874873500_0	d874873500	1
q384375100_0	d384375100	1
q1132784100_0	d1132784100	1
q1132784100_1	d1132784100	1
q655250500_0	d655250500	1
q465671300_0	d465671300	1
q1016145100_0	d1016145100	1
q478260200_0	d478260200	1
q1081487200_0	d1081487200	1
q1153116000_0	d1153116000	1
q311419200_0	d311419200	1
q563419700_0	d563419700	1
q1153117100_0	d1153117100	1
q248320100_0	d248320100	1
q156250200_0	d156250200	1
q156250200_1	d156250200	1
q313813100_0	d313813100	1
q318101500_0	d318101500	1
q588951900_0	d588951900	1
q308617100_0	d308617100	1
q872516300_0	d872516300	1
q950653900_0	d950653900	1
q238093300_0	d238093300	1
q566103000_0	d566103000	1
q1112726100_0	d1112726100	1
q574812800_0	d574812800	1
q1020155700_0	d1020155700	1
q519252300_0	d519252300	1
q1003456600_0	d1003456600	1
q1003456600_1	d1003456600	1
q246677500_0	d246677500	1
q90506900_0	d90506900	1
q826530300_0	d826530300	1
q1020316000_0	d1020316000	1
q680687000_0	d680687000	1
q717579500_0	d717579500	1
q702391700_0	d702391700	1
q826611000_0	d826611000	1
q112622300_0	d112622300	1
q112622300_1	d112622300	1
q1007698500_0	d1007698500	1
q1007698500_1	d1007698500	1
q303157500_0	d303157500	1
q113051100_0	d113051100	1
q313914300_0	d313914300	1
q936362400_0	d936362400	1
q648077300_0	d648077300	1
q898866300_0	d898866300	1
q898866300_1	d898866300	1
q926049700_0	d926049700	1
q105243000_0	d105243000	1
q191316500_0	d191316500	1
q191316500_1	d191316500	1
q630963900_0	d630963900	1
q894855700_0	d894855700	1
q901443200_0	d901443200	1
q1116582400_0	d1116582400	1
q781862400_0	d781862400	1
q1051718100_0	d1051718100	1
q803119800_0	d803119800	1
q139858600_0	d139858600	1
q1103209700_0	d1103209700	1
q854945500_0	d854945500	1
q854945500_1	d854945500	1
q1113411200_0	d1113411200	1
q270338300_0	d270338300	1
q376569200_0	d376569200	1
q376569200_1	d376569200	1
q257449700_0	d257449700	1
q834464500_0	d834464500	1
q834464500_1	d834464500	1
q555188800_0	d555188800	1
q919330700_0	d919330700	1
q586413900_0	d586413900	1
q566701800_0	d566701800	1
q566701800_1	d566701800	1
q1095756200_0	d1095756200	1
q312555700_0	d312555700	1
q983243700_0	d983243700	1
q216431500_0	d216431500	1
q216431500_1	d216431500	1
q1067579000_0	d1067579000	1
q713331100_0	d713331100	1
q922495400_0	d922495400	1
q216428900_0	d216428900	1
q216428900_1	d216428900	1
q924361500_0	d924361500	1
q241662000_0	d241662000	1
q395156200_0	d395156200	1
q110258400_0	d110258400	1
q650177900_0	d650177900	1
q568645300_0	d568645300	1
q568645300_1	d568645300	1
q1094625100_0	d1094625100	1
q84064400_0	d84064400	1
q214309600_0	d214309600	1
q214309600_1	d214309600	1
q517294000_0	d517294000	1
q1106831400_0	d1106831400	1
q175897900_0	d175897900	1
q914767700_0	d914767700	1
q898279400_0	d898279400	1
q589062200_0	d589062200	1
q804969500_0	d804969500	1
q1114596000_0	d1114596000	1
q520080600_0	d520080600	1
q736239100_0	d736239100	1
q562335600_0	d562335600	1
q758957800_0	d758957800	1
q795621500_0	d795621500	1
q647920300_0	d647920300	1
q965339900_0	d965339900	1
q333722300_0	d333722300	1
q333722300_1	d333722300	1
q599257100_0	d599257100	1
q599257100_1	d599257100	1
q298112900_0	d298112900	1
q213805000_0	d213805000	1
q238860500_0	d238860500	1
q1071687300_0	d1071687300	1
q726513200_0	d726513200	1
q726513200_1	d726513200	1
q912619100_0	d912619100	1
q505733600_0	d505733600	1
q596880700_0	d596880700	1
q287321700_0	d287321700	1
q617582900_0	d617582900	1
q599250000_0	d599250000	1
q599250000_1	d599250000	1
q16081100_0	d16081100	1
q374774500_0	d374774500	1
q1000169000_0	d1000169000	1
q312709400_0	d312709400	1
q898215400_0	d898215400	1
q906012900_0	d906012900	1
q147255100_0	d147255100	1
q599247300_0	d599247300	1
q599247300_1	d599247300	1
q97674900_0	d97674900	1
q480504000_0	d480504000	1
q231103500_0	d231103500	1
q137032600_0	d137032600	1
q908274400_0	d908274400	1
q908274400_1	d908274400	1
